PatternID,Text,Cause,Effect
80,"Some renewable resources are too expensive to be widely used. As the technology improves and more people use renewable energy, the prices will come down. The cost of renewable resources will go down relative to fossil fuels as we use fossil fuels up.","the technology improves and more people use renewable energy , the prices will come down .",Some renewable resources are too expensive to be widely used .
80,"As the technology improves and more people use renewable energy, the prices will come down. The cost of renewable resources will go down relative to fossil fuels as we use fossil fuels up. In the long run renewable resources will need to make up a large amount of what we use.",we use fossil fuels up .,The cost of renewable resources will go down relative to fossil fuels
82,Renewable resources can be replaced as quickly as they are used. Renewable resources may also be so abundant that running out is impossible. The difference between non-renewable and renewable resources is like the difference between ordinary batteries and rechargeable ones.,Renewable resources may also be so abundant,running out is impossible .
15,"If a flashlight when ordinary batteries goes dead, the batteries need to be replaced. But if the flashlight has rechargeable batteries, the batteries can be placed in a charger. The charger transfers energy from an outlet into the batteries.",the flashlight has rechargeable batteries,the batteries can be placed in a charger .
17,"Fossil fuels take millions of years to form. For this reason, they are non-renewable. We will use most fossil fuels up in a matter of decades.",Fossil fuels take millions of years to form,they are non-renewable .
5,"Natural gas burns cleaner than other fossil fuels. As a result, it causes less air pollution. It also produces less carbon dioxide than the other fossil fuels.",Natural gas burns cleaner than other fossil fuels,it causes less air pollution .
0,"Fossil fuels present many problems. These fuels are non-renewable resources, so our supplies of them will eventually run out. Safety can be a problem, too.",These fuels are non-renewable resources,our supplies of them will eventually run out .
78,"Safety can be a problem, too. Since these fuels burn so easily, a natural gas leak in a building or an underground pipe can lead to a deadly explosion. Using fossil fuels affects the environment in a variety of ways.",these fuels burn so easily,a natural gas leak in a building or an underground pipe can lead to a deadly explosion .
86,"Safety can be a problem, too. Since these fuels burn so easily, a natural gas leak in a building or an underground pipe can lead to a deadly explosion. Using fossil fuels affects the environment in a variety of ways.",a natural gas leak in a building or an underground pipe,a deadly explosion
0,"Burning coal releases more carbon dioxide than either oil or natural gas. Yet coal is the most common fossil fuel, so we continue to burn large amounts of it. That makes coal the biggest contributor to global warming.",Yet coal is the most common fossil fuel,we continue to burn large amounts of it .
80,"Another problem with coal is that most coal contains sulfur. As it burns, the sulfur goes into the air as sulfur dioxide. Sulfur dioxide is the main cause of acid rain.","it burns , the sulfur goes into the air as sulfur dioxide .",Another problem with coal is that most coal contains sulfur .
68, Nuclear energy is produced by splitting the nucleus of an atom. This releases a huge amount of energy.,splitting the nucleus of an atom,Nuclear energy is produced
76,Natural gas is often found along with coal or oil in underground deposits. This is because natural gas forms with these other fossil fuels. One difference between natural gas and oil is that natural gas forms at higher temperatures.,natural gas forms with these other fossil fuels . One difference between natural gas and oil is that natural gas forms at higher temperatures,This is
44,"Natural gas is delivered to homes, where it is used for cooking and heating. Natural gas is also a major energy source for powering turbines to make electricity. Natural gas releases most of its energy as heat when it burns.",powering turbines to make electricity,Natural gas is also a major energy source
15,"Nuclear energy does not pollute. If there are no accidents, a nuclear power plant releases nothing but steam into the air. But nuclear energy does create other environmental problems.",there are no accidents,a nuclear power plant releases nothing but steam into the air .
75,"It contains a large amount of energy for its weight. This is important because the more something weighs, the more energy is needed to move it. If gasoline could only provide a little energy, a car would have to carry a lot of it to be able to travel very far.",the more something weighs,the more energy is needed to move it .
15,"This is important because the more something weighs, the more energy is needed to move it. If gasoline could only provide a little energy, a car would have to carry a lot of it to be able to travel very far. Or the car would need to be filled up frequently.",gasoline could only provide a little energy,a car would have to carry a lot of it to be able to travel very far .
0,Or the car would need to be filled up frequently. So a highly concentrated energy resource is a practical fuel to power cars and other forms of transportation. Lets consider how gasoline powers a car.,Or the car would need to be filled up frequently,a highly concentrated energy resource is a practical fuel to power cars and other forms of transportation .
80,"Lets consider how gasoline powers a car. As gasoline burns, it releases most of its energy as heat. It also releases carbon dioxide gas and water vapor.","gasoline burns , it releases most of its energy as heat .",Lets consider how gasoline powers a car .
68,Oil is separated into different compounds at an oil refinery (Figure 5.4). This is done by heating the oil. Each hydrocarbon compound in crude oil boils at a different temperature.,heating the oil,This is done
79,These fuels are rich sources of energy. Since they are mostly liquids they can be easily transported. These fuels provide about 90% of the energy used for transportation around the world.,they are mostly liquids they can be easily transported .,These fuels are rich sources of energy .
44,"Coal is a solid hydrocarbon. Coal is useful as a fuel, especially for generating electricity. ",generating electricity,"Coal is useful as a fuel , especially"
14,Coal mining underground is dangerous for the coal miners. Miners are sometimes killed if there is an explosion or a mine collapse. Miners breathe in coal dust and can get terrible lung diseases after a number of years in the mines.,there is an explosion or a mine collapse .,Miners are sometimes killed
100,"The hardest type of coal, anthracite, is a metamorphic rock. That is because it is exposed to higher temperature and pressure as it forms. Coal is mostly carbon, but some other elements can be found in coal, including sulfur.",it is exposed to higher temperature and pressure as it forms .,"The hardest type of coal , anthracite , is a metamorphic rock"
68,Scientists and engineers have many ways to get energy from the Sun (Figure 5.9). One is by using solar cells. Solar cells are devices that turn sunlight directly into electricity.,using solar cells,One is
68,You may have seen solar panels on roof tops. The Suns heat can also be trapped in your home by using south facing windows and good insulation. ,using south facing windows and good insulation,The Suns heat can also be trapped in your home
0,Water power does not burn a fuel. So it causes less pollution than many other kinds of energy. Water power is also a renewable resource.,Water power does not burn a fuel,it causes less pollution than many other kinds of energy .
75," Because the hot water or steam can be used directly to make a turbine spin, geothermal energy can be used without processing. Geothermal energy is clean and safe.",the hot water or steam can be used directly to make a turbine spin,geothermal energy can be used without processing .
44,Geothermal energy is not economical everywhere. Many parts of the world do not have underground sources of heat that are close enough to the surface for building geothermal power plants. ,building geothermal power plants,Many parts of the world do not have underground sources of heat that are close enough to the surface
76,Biofuel is a fairly new type of energy that is becoming more popular. Biomass is useful because it can be made liquid. This means that they can be used in cars and trucks.,it can be made liquid .,Biomass is useful
67,"Sometimes the exhaust from these cars smells like French fries! By using biofuels, we can cut down on the amount of fossil fuel that we use. Because living plants take carbon dioxide out of the air, growing plants for biofuel can mean that we will put less of this gas into the air overall.",using biofuels,", we can cut down on the amount of fossil fuel that we use ."
75,"By using biofuels, we can cut down on the amount of fossil fuel that we use. Because living plants take carbon dioxide out of the air, growing plants for biofuel can mean that we will put less of this gas into the air overall. This could help us do something about the problem of global warming.",living plants take carbon dioxide out of the air,growing plants for biofuel can mean that we will put less of this gas into the air overall .
0,"Wind power also has problems. Wind does not blow all of the time, so wind energy must be stored for later use. Alternatively, another energy source needs to be available when the wind is not blowing.",Wind does not blow all of the time,wind energy must be stored for later use .
44,"Although not yet widely used, many believe tidal power has more potential than wind or solar power for meeting alternative energy needs. Quest radio looks at plans for harnessing power from the sea by San Francisco and along the northern California coast. Learn more at:",harnessing power from the sea by San Francisco and along the northern California coast,Quest radio looks at plans
0,"The Sun heats some locations more than others. Warm air rises, so other air rushes in to fill the hole left by the rising air. This horizontal movement of air is called wind.",Warm air rises,other air rushes in to fill the hole left by the rising air .
77,Wegener thought that all of these organisms lived side by side. The lands later moved apart so that the fossils are separated. ,The lands later moved apart,the fossils are separated .
15,"Wegener knew that this was impossible! However, if the continents had moved, the glaciers would have been centered close to the South Pole. ",the continents had moved,the glaciers would have been centered close to the South Pole .
79,"Wegener suggested that Pangaea broke up long ago. Since then, the continents have been moving to their current positions. He called his hypothesis continental drift.","then , the continents have been moving to their current positions .",Wegener suggested that Pangaea broke up long ago .
15,"Earths magnetic field surrounds the planet from pole to pole. If you have ever been hiking or camping, you may have used a compass to help you find your way. A compass points to the magnetic North Pole.",you have ever been hiking or camping,you may have used a compass to help you find your way .
80,"Some rocks contain little compasses too! As lava cools, tiny iron-rich crystals line up with Earths magnetic field. ","lava cools , tiny iron-rich crystals line up with Earths magnetic field .",Some rocks contain little compasses too !
80,Wegener concluded that they formed as a single mountain range. This mountain range broke apart as the continents split up. The mountain range separated as the continents drifted.,the continents split up .,This mountain range broke apart
80,This mountain range broke apart as the continents split up. The mountain range separated as the continents drifted. ,the continents drifted .,The mountain range separated
14,Wegener and his supporters collected a great deal of evidence for the continental drift hypothesis. Wegener found that this evidence was best explained if the continents had at one time been joined together. ,the continents had at one time been joined together .,Wegener found that this evidence was best explained
80,The Andes Mountains are a chain of coastal volcanic mountains. They are forming as the Nazca plate subducts beneath the South American plate (Figure 7.18). ,the Nazca plate subducts beneath the South American plate -LRB- Figure 7.18 -RRB- .,They are forming
0,"Continents are too buoyant to get pushed down into the mantle. So when the plates smash together, the crust crumples upwards. This creates mountains.",Continents are too buoyant to get pushed down into the mantle,"when the plates smash together , the crust crumples upwards ."
80,"About 80 million years ago, India was separated from Eurasia by an ocean (Figure 7.16). As the plates collided, pieces of the old seafloor were forced over the Asian continent. This old seafloor is now found high in the Himalayas (Figure 7.17).","the plates collided , pieces of the old seafloor were forced over the Asian continent .","About 80 million years ago , India was separated from Eurasia by an ocean -LRB- Figure 7.16 -RRB- ."
80,"Mid-ocean ridges form at divergent plate boundaries. As the ocean floor separates an enormous line of volcanoes is created. When continental crust is pulled apart, it breaks into blocks.",the ocean floor separates an enormous line of volcanoes is created .,Mid-ocean ridges form at divergent plate boundaries .
80,"Stress is the force applied to a rock. There are four types of stresses: Confining stress happens as weight of all the overlying rock pushes down on a deeply buried rock. The rock is being pushed in from all sides, which compresses it.",weight of all the overlying rock pushes down on a deeply buried rock .,Confining stress happens
76,"The rock is being pushed in from all sides, which compresses it. The rock will not deform because there is no place for it to move. Compression stress squeezes rocks together.",there is no place for it to move .,The rock will not deform
15,"When the stress stops, the rock goes back to its original shape. If more stress is applied to the rock, it bends and flows. It does not return to its original shape.",more stress is applied to the rock,it bends and flows .
15,"It does not return to its original shape. Near the surface, if the stress continues, the rock will fracture and break. ",the stress continues,the rock will fracture and break .
68,"Deep within the Earth, as plates collide, rocks crumple into folds. You can model these folds by placing your hands on opposite edges of a piece of cloth and pushing your hands together. In sedimentary rocks, you can easily trace the folding of the layers.",placing your hands on opposite edges of a piece of cloth and pushing your hands together,You can model these folds
15,"They tilt downhill from right to left in a monocline. Once rocks are folded, they do not return to their original shape. There are three types of folds: monoclines, anticlines, and synclines.",rocks are folded,they do not return to their original shape .
15,"When upward folding rocks form a circular structure, that structure is called a dome. If the top of the dome is eroded off, the oldest rocks are exposed at the center. A syncline is a fold that bends downward (Figure 7.9).",the top of the dome is eroded off,the oldest rocks are exposed at the center .
15,"When rocks bend downward in a circular structure, it is called a basin. If the rocks are eroded, the youngest rocks are at the center. Basins can be enormous, like the Michigan Basin.",the rocks are eroded,the youngest rocks are at the center .
15,"Figure 7.5 shows joints in a granite hillside. If a sedimentary rock is tilted or folded, we know that stresses have changed the rock (Figure 7.6). ",a sedimentary rock is tilted or folded,we know that stresses have changed the rock -LRB- Figure 7.6 -RRB- .
15,"Strike-slip faults result from shear stresses. If you stand with one foot on each side of a strike-slip fault, one side will be moving toward you while the other side moves away from you. If your right foot moves toward you, the fault is known as a right-lateral strike-slip fault.",you stand with one foot on each side of a strike-slip fault,one side will be moving toward you while the other side moves away from you .
15,"If you stand with one foot on each side of a strike-slip fault, one side will be moving toward you while the other side moves away from you. If your right foot moves toward you, the fault is known as a right-lateral strike-slip fault. If your left foot moves toward you, the fault is a left-lateral strike-slip fault (Figure 7.14).",your right foot moves toward,the fault is known as a right-lateral strike-slip fault .
15,"If your right foot moves toward you, the fault is known as a right-lateral strike-slip fault. If your left foot moves toward you, the fault is a left-lateral strike-slip fault (Figure 7.14). ",your left foot moves toward,the fault is a left-lateral strike-slip fault -LRB- Figure 7.14 -RRB- .
14,"With enough stress, a rock will fracture, or break. The fracture is called a joint if the rock breaks but doesnt move, as shown in Figure 7.10. If the rocks on one or both sides of a fracture move, the fracture is called a fault (Figure 7.11).","the rock breaks but doesnt move , as shown in Figure 7.10 .",The fracture is called a joint
80,"The energy released causes an earthquake. Slip is the distance rocks move along a fault, as one block of rock moves past the other. The angle of a fault is called When compression squeezes the crust into a smaller space, the hanging wall pushes up relative to the footwall.",one block of rock moves past the other .,Slip is the distance rocks move along a fault
76,"The San Andreas Fault in California is a right-lateral strike-slip fault (Figure 7.15). It is also a transform fault because the San Andreas is a plate boundary. As you can see, California will not fall into the ocean someday.",the San Andreas is a plate boundary .,It is also a transform fault
80,"It is also a transform fault because the San Andreas is a plate boundary. As you can see, California will not fall into the ocean someday. The land west of the San Andreas Fault is moving northeastward, while the North American plate moves southwest.","you can see , California will not fall into the ocean someday .",It is also a transform fault because the San Andreas is a plate boundary .
80,"It becomes trapped in a narrow passageway. The heat and pressure build as more water is added. When the pressure is too much, the superheated water bursts out onto the surface.",more water is added .,The heat and pressure build
0,"(Figure 8.23). It is rare for a geyser to erupt so regularly, which is why Old Faithful is famous. ",It is rare for a geyser to erupt,"regularly , which is why Old Faithful is"
15,"Sometimes this water is heated by nearby magma. If the water makes its way to the surface, it forms a hot spring or a geyser. ",the water makes its way to the surface,it forms a hot spring or a geyser .
14,(Figure 8.22). Intrusions become land formations if they are exposed at the surface by erosion. ,they are exposed at the surface by erosion .,Intrusions become land formations
80,These volcanoes formed from fluid lava (Figure 8.21). The island grows as lava is added on the coast. New land may also emerge from lava that erupts from beneath the water.,lava is added on the coast .,The island grows
15,"When lava is thick, it flows slowly. If thick lava makes it to the surface, it cannot flow far from the vent. It often stays right in the middle of a crater at the top of a volcano.",thick lava makes it to the surface,it can not flow far from the vent .
80,Many minerals are rich in iron. They break down as the iron changes into iron oxide. This makes the red color in soils.,the iron changes into iron oxide .,They break down
80,"Plants and animals also cause chemical weathering. As plant roots take in nutrients, elements are exchanged. ","plant roots take in nutrients , elements are exchanged .",Plants and animals also cause chemical weathering .
76,Certain types of rock are very resistant to weathering. Igneous rocks tend to weather slowly because they are hard. Water cannot easily penetrate them.,they are hard .,Igneous rocks tend to weather slowly
76,Granite is a very stable igneous rock. Other types of rock are easily weathered because they dissolve easily in weak acids. Limestone is a sedimentary rock that dissolves easily.,they dissolve easily in weak acids .,Other types of rock are easily weathered
68,Some types of rock can even completely dissolve in water! Other minerals change by adding water into their structure. ,adding water into their structure,Other minerals change
80," Carbon dioxide (CO2 ) combines with water as raindrops fall through the air. This makes a weak acid, called carbonic acid.",raindrops fall through the air .,Carbon dioxide -LRB- CO2 -RRB- combines with water
82,"This makes a weak acid, called carbonic acid. This happens so often that carbonic acid is a common, weak acid found in nature. This acid works to dissolve rock.",This happens so often,"carbonic acid is a common , weak acid found in nature ."
80,"When we burn coal rich in sulfur, it adds sulfur dioxide to the air. As nitrous oxide and sulfur dioxide react with water, they form nitric acid and sulfuric acid. These are the two main components of acid rain.","nitrous oxide and sulfur dioxide react with water , they form nitric acid and sulfuric acid .","When we burn coal rich in sulfur , it adds sulfur dioxide to the air ."
80,"With abrasion, one rock bumps against another rock. Gravity causes abrasion as a rock tumbles down a slope. Moving water causes abrasion it moves rocks so that they bump against one another (Figure 9.3).",a rock tumbles down a slope .,"With abrasion , one rock bumps against another rock . Gravity causes abrasion"
77,Gravity causes abrasion as a rock tumbles down a slope. Moving water causes abrasion it moves rocks so that they bump against one another (Figure 9.3). Strong winds cause abrasion by blasting sand against rock surfaces.,Moving water causes abrasion it moves rocks,they bump against one
81,Gravity causes abrasion as a rock tumbles down a slope. Moving water causes abrasion it moves rocks so that they bump against one another (Figure 9.3). Strong winds cause abrasion by blasting sand against rock surfaces.,Moving water,causes abrasion it moves rocks
68,"Moving water causes abrasion it moves rocks so that they bump against one another (Figure 9.3). Strong winds cause abrasion by blasting sand against rock surfaces. Finally, the ice in glaciers cause abrasion.",blasting sand against rock surfaces,Strong winds cause abrasion
15,"Pieces of rock embedded in ice at the bottom of a glacier scrape against the rock below. If you have ever collected beach glass or pebbles from a stream, you have witnessed the work of abrasion. ",you have ever collected beach glass or pebbles from a stream,you have witnessed the work of abrasion .
80,"A plants roots grow into a crack in rock. As the roots grow larger, they wedge open the crack. Burrowing animals can also cause weathering.","the roots grow larger , they wedge open the crack .",A plants roots grow into a crack in rock .
67,"Burrowing animals can also cause weathering. By digging for food or creating a hole to live in the animal may break apart rock. Today, human beings do a lot of mechanical weathering whenever we dig or blast into rock.",digging for food or creating,a hole to live in the animal may break apart rock .
80,"Mechanical weathering increases the rate of chemical weathering. As rock breaks into smaller pieces, the surface area of the pieces increases. With more surfaces exposed, there are more places for chemical weathering to occur.","rock breaks into smaller pieces , the surface area of the pieces increases .",Mechanical weathering increases the rate of chemical weathering .
75,"Maybe you could make hot chocolate from some smaller pieces like chocolate chips, but it is much easier to add a powder to your milk. This is because the smaller the pieces are, the more surface area they have. Smaller pieces dissolve more easily.",the smaller the pieces are,the more surface area they have .
0,"Sediments are different sizes of rock particles. Boulders are sedi- ments; so is gravel. At the other end, silt and clay are also sediments.",Boulders are sedi - ments,is gravel .
0,"It takes a long time for a rock or mountain to weather. But a road can do so much more quickly. If you live in a part of the world that has cold winters, you may only have to wait one year to see a new road start to weather (Figure",But a road can do,"much more quickly . If you live in a part of the world that has cold winters , you may only have to wait one year to see a new road start to weather -LRB-"
15,"But a road can do so much more quickly. If you live in a part of the world that has cold winters, you may only have to wait one year to see a new road start to weather (Figure ",you live in a part of the world that has cold winters,you may only have to wait one year to see a new road start to weather -LRB- Figure
77,"The ice cubes go to a higher level in the tray than the water. You also may have seen this if you put a can of soda into the freezer so that it cools down quickly. If you leave the can in the freezer too long, the liquid expands so much that it bends or pops the can.",You also may have seen this if you put a can of soda into the freezer,it cools down quickly .
14,"The ice cubes go to a higher level in the tray than the water. You also may have seen this if you put a can of soda into the freezer so that it cools down quickly. If you leave the can in the freezer too long, the liquid expands so much that it bends or pops the can.",you put a can of soda into the freezer,You also may have seen this
82,"You also may have seen this if you put a can of soda into the freezer so that it cools down quickly. If you leave the can in the freezer too long, the liquid expands so much that it bends or pops the can. (For the record, water is very unusual.","If you leave the can in the freezer too long , the liquid expands so much",it bends or pops the can .
15,"You also may have seen this if you put a can of soda into the freezer so that it cools down quickly. If you leave the can in the freezer too long, the liquid expands so much that it bends or pops the can. (For the record, water is very unusual.",you leave the can in the freezer too long,the liquid expands so much
77,"Acid rain is caused by sulfur and nitrogen oxides emanating from power plants or metal refineries. The smokestacks have been built tall so that pollutants dont sit over cities (Figure 1.1). As they move, these pollutants combine with water vapor to form sulfuric and nitric acids.",The smokestacks have been built tall,pollutants dont sit over cities -LRB- Figure 1.1 -RRB- .
80,"The smokestacks have been built tall so that pollutants dont sit over cities (Figure 1.1). As they move, these pollutants combine with water vapor to form sulfuric and nitric acids. The acid droplets form acid fog, rain, snow, or they","they move , these pollutants combine with water vapor to form sulfuric and nitric acids .",The smokestacks have been built tall so that pollutants dont sit over cities -LRB- Figure 1.1 -RRB- .
5,"Acids strip soil of metals and nutrients, which collect in streams and lakes. As a result, stripped soils may no longer provide the nutrients that native plants need. A pH scale goes from 1 to 14; numbers are shown with the pH of some common substances.",", which collect in streams and lakes",stripped soils may no longer provide the nutrients that native plants need .
0,"Plants that are exposed to acids become weak and are more likely to be damaged by bad weather, insect pests, or disease. Snails die in acid soils, so songbirds do not have as much food to eat. Young birds and mammals do not build bones as well and may not be as strong.",Snails die in acid soils,songbirds do not have as much food to eat .
80,"Plants that are exposed to acids become weak and are more likely to be damaged by bad weather, insect pests, or disease. Snails die in acid soils, so songbirds do not have as much food to eat. Young birds and mammals do not build bones as well and may not be as strong.",much food to eat .,songbirds do not have
80,"Eggshells may also be weak and break more easily. As lakes become acidic, organisms die off. No fish can live if the pH drops below 4.5.","lakes become acidic , organisms die off .",Eggshells may also be weak and break more easily .
14,"As lakes become acidic, organisms die off. No fish can live if the pH drops below 4.5. Organic material cannot decay, and mosses take over the lake.",the pH drops below 4.5 .,No fish can live
0,"These include the U.S. Capitol and many buildings in Europe, such as Westminster Abbey. Carbonate rocks neutralize acids and so some regions do not suffer the effects of acid rain nearly as much. Limestone in the midwestern United States protects the area.",Carbonate rocks neutralize acids,some regions do not suffer the effects of acid rain nearly as much .
82,"Limestone in the midwestern United States protects the area. One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released.",One reason that the northeastern United States is so vulnerable,the rocks are not carbonates .
82,"One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released. All the rain that falls in Sweden is acidic and fish in lakes all over the country are dying.",Because pollutants can travel so far,falls hurts states or nations other than ones where the pollutants were released .
14," Many changes in the genetic makeup of a species may accumulate over time, especially if the environment is changing. Eventually the descendants will be very different from their ancestors and may become a whole new species.",the environment is changing .,"Many changes in the genetic makeup of a species may accumulate over time , especially"
15,"Many mutations are neutral and remain in the population. If the environment changes, the mutation may be beneficial and it may help the organism adapt to the environment. The organisms that survive pass this favorable trait on to their offspring.",the environment changes,the mutation may be beneficial and it
44,"During the 18th and 19th centuries, geologists tried to estimate the age of Earth with indirect techniques. What methods can you think of for doing this? One example is that by measuring how much sediment a stream deposited in a year, a geologist might try to determine how long it took for a stream to deposit an ancient sediment layer.",doing this,What methods can you think of
67,"What methods can you think of for doing this? One example is that by measuring how much sediment a stream deposited in a year, a geologist might try to determine how long it took for a stream to deposit an ancient sediment layer. Not surprisingly, these methods resulted in wildly different estimates.",measuring how much sediment a stream deposited in a year,", a geologist might try to determine how long it took for a stream to deposit an ancient sediment layer ."
79,"Not surprisingly, these methods resulted in wildly different estimates. A relatively good estimate was produced by the British geologist Charles Lyell, who thought that 240 million years had passed since the appearance of the first animals with shells. Today scientists know that this event occurred about 530 million years ago.",the appearance of the first animals with shells . Today scientists know that this event occurred about 530 million,had passed
80,"Today scientists know that this event occurred about 530 million years ago. In 1892, William Thomson (later known as Lord Kelvin) calculated that the Earth was 100 million years old, which he later lowered to 20 million years. He did this systematically assuming that the planet started off as a molten ball and calculating the time it would take for it to cool to its current temperature.","Lord Kelvin -RRB- calculated that the Earth was 100 million years old , which he later lowered to 20 million years .","Today scientists know that this event occurred about 530 million years ago . In 1892 , William Thomson -LRB- later known"
80,"In 1892, William Thomson (later known as Lord Kelvin) calculated that the Earth was 100 million years old, which he later lowered to 20 million years. He did this systematically assuming that the planet started off as a molten ball and calculating the time it would take for it to cool to its current temperature. This estimate was a blow to geologists and supporters of Charles Darwins theory of evolution, which required an older Earth to provide time for geological and evolutionary processes to take place.",a molten ball and calculating the time it would take for it to cool to its current temperature .,He did this systematically assuming that the planet started off
0,What Kelvin didnt know is that radioactive decay of elements inside Earths interior provides a steady source of heat. He also didnt know that the mantle is able to flow and so convection moves heat from the interior to the surface of the planet. Thomson had grossly underestimated Earths age.,He also didnt know that the mantle is able to flow,convection moves heat from the interior to the surface of the planet .
44," Radioactivity turned out to be useful for dating Earth materials and for coming up with a quantitative age for Earth. Scientists not only date ancient rocks from Earths crust, they also date meteorites that formed at the same time Earth and the rest of the solar system were forming.",dating Earth materials,Radioactivity turned out to be useful
81,"Moon rocks also have been radiometrically dated. Using a combination of radiometric dating, index fossils, and superposition, geologists have constructed a well- defined timeline of Earth history. With information gathered from all over the world, estimates of rock and fossil ages have become increasingly accurate.","Using a combination of radiometric dating , index fossils , and superposition",geologists have constructed a well - defined timeline of Earth history .
80,"Some scientists think that the carrying capacity of the planet is about 1 billion people, not the 7 billion people we have today. The limiting factors have changed as our intelligence has allowed us to expand our population. Can we continue to do this indefinitely into the future?",our intelligence has allowed us to expand our population .,The limiting factors have changed
44,"A century ago, a single farmer produced enough food for 2.5 people, but now a farmer can feed more than 130 people. The Green Revolution is credited for feeding 1 billion people that would not otherwise have been able to live. ",feeding 1 billion people that would not otherwise have been able to live,The Green Revolution is credited
77,"Animals were domesticated to provide meat. With agriculture, people could settle down, so that they no longer needed to carry all their possessions (Figure 1.2). They could develop better farming practices and store food for when it was difficult to grow.","With agriculture , people could settle down ,",they no longer needed to carry all their possessions -LRB- Figure 1.2 -RRB- .
67,"Obviously, human populations have blown past this hypothetical carrying capacity. By using our brains, our erect posture, and our hands, we have been able to manipulate our environment in ways that no other species has ever done. What have been the important developments that have allowed population to grow?","using our brains , our erect posture , and our hands",", we have been able to manipulate our environment in ways that no other species has ever done ."
77, Pollutants include materials that are naturally occurring but are added to the atmosphere so that they are there in larger quantities than normal. Pollutants may also be human-made compounds that have never before been found in the atmosphere.,Pollutants include materials that are naturally occurring but are added to the atmosphere,they are there in larger quantities than normal .
86," Terrible air pollution events in Pennsylvania and London, in which many people died, plus the recognition of the hazards of photochemical smog, led to the passage of the Clean Air Act in 1970 in the United States. The act now regulates 189 pollutants.",the recognition of the hazards of photochemical smog,the passage of the Clean Air Act in 1970 in the United States
80,Air pollution started to be a problem when early people burned wood for heat and cooking fires in enclosed spaces such as caves and small tents or houses. But the problems became more widespread as fossil fuels such as coal began to be burned during the Industrial Revolution. ,fossil fuels such as coal began to be burned during the Industrial Revolution .,But the problems became more widespread
80,Air pollution started to be a problem when early people burned wood for heat and cooking fires in enclosed spaces such as caves and small tents or houses. But the problems became more widespread as fossil fuels such as coal began to be burned during the Industrial Revolution (Figure 1.1). The 2012 Olympic Games in London opening ceremony contained a reen- actment of the Industrial Revolution - complete with pollution streaming from smokestacks.,fossil fuels such as coal began to be burned during the Industrial Revolution -LRB- Figure 1.1 -RRB- .,But the problems became more widespread
15,"Inversions commonly trap pollutants within a cool air mass. If the inversion lasts long enough, pollution can reach dangerous levels. Pollutants remain over a region until they are transported out of the area by wind, diluted by air blown in from another region, transformed into other compounds, or carried to the ground when mixed with rain or snow.",the inversion lasts long enough,pollution can reach dangerous levels .
44,"Why do you think California cities are among those with the worst air pollution? The state has the right conditions for collecting pollutants including mountain ranges that trap smoggy air, arid and sometimes windless conditions, agriculture, industry, and lots and lots of cars. Rank 1 2 3 4 5 6 7 8 9 10 City, State Los Angeles area, California Visalia-Porterville, California Bakersfield-Delano, California Fresno-Madera, California Hanford-Corcoran, California Sacramento area, California Houston area, Texas Dallas-Fort Worth,",collecting pollutants including mountain ranges,The state has the right conditions
76, Scientists are interested in asteroids because they are representatives of the earliest solar system (Figure 1.4). Eventually asteroids could be mined for rare minerals or for construction projects in space.,they are representatives of the earliest solar system -LRB- Figure 1.4 -RRB- .,Scientists are interested in asteroids
80,URL:   The NEAR Shoemaker probe took this photo as it was about to land on 433 Eros in 2001. ,it was about to land on 433 Eros in 2001 .,The NEAR Shoemaker probe took this photo
78,"On average, each year a rock about 5-10 m in diameter hits Earth (Figure 1.3). Since past asteroid impacts have been implicated in mass extinctions, astronomers are always on the lookout for new asteroids, and follow the known near-Earth asteroids closely, so they can predict a possible collision as early as possible. A painting of what an asteroid a few kilometers across might look like as it strikes Earth.",past asteroid impacts have been implicated in mass extinctions,"astronomers are always on the lookout for new asteroids , and follow the known near-Earth asteroids closely , so they can predict a possible collision as early as possible ."
0,"On average, each year a rock about 5-10 m in diameter hits Earth (Figure 1.3). Since past asteroid impacts have been implicated in mass extinctions, astronomers are always on the lookout for new asteroids, and follow the known near-Earth asteroids closely, so they can predict a possible collision as early as possible. A painting of what an asteroid a few kilometers across might look like as it strikes Earth.","astronomers are always on the lookout for new asteroids , and follow the known near-Earth asteroids closely",they can predict a possible collision as early as possible .
80,"Since past asteroid impacts have been implicated in mass extinctions, astronomers are always on the lookout for new asteroids, and follow the known near-Earth asteroids closely, so they can predict a possible collision as early as possible. A painting of what an asteroid a few kilometers across might look like as it strikes Earth. ",it strikes Earth .,an asteroid a few kilometers across might look like
76,"Asteroid"" means ""star-like,"" and in a telescope, asteroids look like points of light, just like stars. Asteroids are irregularly shaped because they do not have enough gravity to become round. They are also too small to maintain an atmosphere, and without internal heat they are not geologically active (Figure 1.1).",they do not have enough gravity to become round .,Asteroids are irregularly shaped
80,"Asteroid impacts have had dramatic impacts on the shaping of the planets, including Earth. Early impacts caused the planets to grow as they cleared their portions of space. An impact with an asteroid about the size of Mars caused fragments of Earth to fly into space and ultimately create the Moon.",they cleared their portions of space .,Early impacts caused the planets to grow
